application/atom+xml	atom
application/json	json
application/javascript	js
application/octet-stream	
application/ogg	ogg
application/pdf	pdf
application/postscript	ps
application/x-woff	woff
application/xhtml+xml	xhtml xht xml
application/xml-dtd	dtd
application/zip	zip
application/x-gzip	gz
audio/basic	au snd
audio/mid	mid rmi
audio/mpeg	mp3
audio/x-aiff	aif aifc aiff
audio/x-mpegurl	m3u
audio/x-pn-realaudio	ra ram
audio/x-wav	wav
image/bmp	bmp
image/cis-cod	cod
image/gif	gif
image/ief	ief
image/jpeg	jpe jpeg jpg
image/pipeg	jfif
image/pjpeg	jpeg
image/png	png
image/svg+xml	svg
image/tiff	tif tiff
image/x-cmu-raster	ras
image/x-cmx	cmx
image/x-icon	ico
image/x-png	png
image/x-portable-anymap	pnm
image/x-portable-bitmap	pbm
image/x-portable-graymap	pgm
image/x-portable-pixmap	ppm
image/x-rgb	rgb
image/x-xbitmap	xbm
image/x-xpixmap	xpm
image/x-xwindowdump	xwd
message/rfc822	mht mhtml nws
text/css	css
text/h323	323
text/html	htm html stm
text/iuls	uls
text/plain	bas c h txt cpp
text/richtext	rtx
text/scriptlet	sct
text/tab-separated-values	tsv
text/webviewhtml	htt
text/x-component	htc
text/x-setext	etx
text/x-vcard	vcf
video/mpeg	mp2 mpa mpe mpeg mpg mpv2
video/quicktime	mov qt
video/x-la-asf	lsf lsx
video/x-ms-asf	asf asr asx
video/x-msvideo	avi
video/x-sgi-movie	movie
